"","CO_MUNICIPIO_RESIDENCIA","uf_res","nu_nota_cn","nu_nota_ch","nu_nota_lc","nu_nota_mt","nu_nota_redacao"
"268",2906824,"29",447.58185840708,501.524336283186,486.934513274336,447.147787610619,483.362831858407
"269",2906857,"29",465.284455958549,521.656476683938,514.656476683938,473.250259067357,526.113989637306
"270",2906873,"29",457.354503816794,521.219847328244,504.31358778626,465.688396946565,508.977099236641
"271",2906899,"29",443.98773006135,491.888957055215,478.588343558282,446.615950920245,471.411042944785
"272",2906907,"29",459.055882352941,510.401604278075,496.423529411765,462.356417112299,491.176470588235
"273",2907004,"29",449.51953125,497.398828125,481.365234375,440.291015625,467.1875
"274",2907103,"29",445.540706806283,491.548036649215,481.562041884817,443.849607329843,470.104712041885
"275",2907202,"29",447.929266572638,500.77856135402,487.898307475317,451.574682651622,470.620592383639
"276",2907301,"29",456.942295081967,507.633114754098,492.74606557377,453.636229508197,495.081967213115
"277",2907400,"29",443.076785714286,493.275,463.958928571429,443.785714285714,467.142857142857
"278",2907509,"29",473.828852838934,529.163731170336,510.666859791425,472.025028968714,527.311703360371
"279",2907558,"29",460.429508196721,495.194535519126,492.785245901639,467.818032786885,527.540983606557
"280",2907608,"29",468.975700934579,518.488785046729,501.330373831776,464.546261682243,507.943925233645
"281",2907707,"29",441.987943262411,473.56134751773,468.136879432624,441.436879432624,459.645390070922
"282",2907806,"29",457.117901234568,509.408765432099,495.52975308642,456.909012345679,499.679012345679
"283",2907905,"29",460.021818181818,508.504545454545,500.565681818182,454.473636363636,490.863636363636
"284",2908002,"29",466.684195402299,521.576149425287,508.129454022989,471.915517241379,509.132183908046
"285",2908101,"29",445.299099099099,495.267867867868,482.384084084084,447.826726726727,465.825825825826
"286",2908200,"29",454.651741935484,507.858322580645,494.279096774194,447.891870967742,488.438709677419
"287",2908309,"29",459.811411992263,508.585880077369,494.313926499033,450.718181818182,495.539651837524
"288",2908408,"29",464.859827213823,523.798542116631,506.286933045356,466.153779697624,527.98596112311
"289",2908507,"29",466.729938900204,523.377698574338,509.381059063136,461.837780040733,511.955193482688
"290",2908606,"29",455.602976190476,499.096130952381,486.358928571429,447.492857142857,478.809523809524
"291",2908705,"29",471.868,525.756,513.407466666667,471.909066666667,552.533333333333
"292",2908804,"29",448.247,491.584,485.572,444.001,498.6
"293",2908903,"29",451.68543814433,508.530025773196,489.38118556701,451.026932989691,484.09793814433
"294",2909000,"29",452.744680851064,508.177872340426,503.768085106383,466.527659574468,476.425531914894
"295",2909109,"29",452.452293577982,501.693577981651,485.29495412844,443.880275229358,490.825688073394
"296",2909208,"29",448.509523809524,495.705952380952,479.974761904762,445.94119047619,475.190476190476
"297",2909307,"29",462.04757118928,507.197654941374,495.214405360134,462.48810720268,505.226130653266
"298",2909406,"29",443.21316872428,488.422222222222,480.714814814815,439.634567901235,496.543209876543
"299",2909505,"29",446.721383647799,500.606918238994,486.264779874214,447.316352201258,473.584905660377
"300",2909604,"29",450.206388888889,492.433611111111,480.421388888889,455.248333333333,502.388888888889
"301",2909703,"29",449.607547169811,503.821132075472,489.070566037736,454.147924528302,518.188679245283
